uncompensated open-loop nominator,uncompensated open-loop denominator,uncompensated closed-loop denominator,uclp 0,uclp 1,uclp 2,PO max,Ts max,c min,phase deficiency max,sigma_d min,pd,pd phase,new c,new PO,new Ts,required additional phase,Gc-z,Gc-p,Gc-k,compensated closed-loop nominator,compensated closed-loop denominator,compensated closed-loop zeros,compensated closed-loop poles
[7.],[0.49105371 3.96786275 6.80453372 1.        ],[7.49105371 3.96786275 6.80453372 1.        ],-6.366093486469999,-0.21922011741347902,-0.21922011741347902,29.03119750598431,11.14893952463672,0.3663199201480302,68.51116456027721,0.358778518007105,-0.5178562966632057,5.830307107999194,0.8991914569743203,0.15709394474070495,7.724150552525676,289.71983174503583,-0.45488245410699923,-1.220881296026021,0.2571452244827296,[1.80001657],[3.11797967 8.83168827 7.57053256 1.        ],[],[-6.23408294+0.j         -0.66822481-0.23157309j -0.66822481+0.23157309j]
[8.],[0.32611559 3.57877478 6.97954088 1.        ],[8.32611559 3.57877478 6.97954088 1.        ],-6.629150670048372,-0.17519510642709948,-0.17519510642709948,57.04664136212278,7.218548801803028,0.1758824340486712,79.86998560291003,0.5541279985529629,-1.6653806692254132,51.18515719462644,0.60607890421103,9.12805823621772,2.4018532662928314,89.39915735296523,-0.4309323578397082,-210.07529325561214,365.8030309255701,[2926.4242474],[3.08540240e+03 1.37645762e+03 2.16623902e+02 1.00000000e+00],[],"[-210.14369166+0.j           -3.24010506-2.04549877j
   -3.24010506+2.04549877j]"
[9.],[0.46239535 5.91224952 7.04593732 1.        ],[9.46239535 5.91224952 7.04593732 1.        ],-6.349506382226129,-0.3482154682543589,-0.3482154682543589,37.149807670000804,1.6675956248653758,0.30061501405872265,72.50545397124115,2.3986630453788327,-2.5556267278512523,44.77721348083079,0.7003444921480664,4.585136385548423,1.565173801168985,112.75574354439055,-0.871639169922715,3.654240645489346,11.782706271484365,[106.04435644],[104.10582049 -22.03188185   2.5200575    1.        ],[],[-7.39920041+0.j          2.43957146-2.84927456j  2.43957146+2.84927456j]
[3.],[0.08940842 2.8580573  6.85339354 1.        ],[3.08940842 2.8580573  6.85339354 1.        ],-6.486190028080984,-0.18360175422468447,-0.18360175422468447,21.929949827041977,1.6114497209085328,0.4349085173702453,64.22052715978117,2.482236924987524,-2.69246149226546,10.340710000974973,0.6090516104807899,8.959504551730783,1.485629418095917,113.56310559816853,-0.4096721996912235,5.3470836406318565,65.73495911885296,[197.20487736],[196.03790946 -34.23687314   1.0966377    1.        ],[],[-8.19431048+0.j          3.54883639-3.36592062j  3.54883639+3.36592062j]
[5.],[2.19110007 8.38025186 7.95963264 1.        ],[7.19110007 8.38025186 7.95963264 1.        ],-6.895557380913704,-0.5320376283376892,-0.5320376283376892,14.32241511779526,2.331451320163331,0.5260706034692127,58.25965624973098,1.7156695339964372,-3.351253003232282,54.15684308130242,0.7318470096295456,3.425793863932763,1.1935834137685224,125.19764736428505,-0.7695041574912851,1.0728131318146321,21.454249974472276,[107.27124987],[104.21650234  -4.86624615   6.11731535   1.        ],[],[-8.24192941+0.j          1.06230703-3.39354929j  1.06230703+3.39354929j]
[1.],[0.24604923 2.54286118 6.63218026 1.        ],[1.24604923 2.54286118 6.63218026 1.        ],-6.257640240316393,-0.1872700116070837,-0.1872700116070837,7.2608575538350575,20.83676202147755,0.6408588131312809,50.144111120337726,0.1919684064096422,-1.7544436646053374,35.34162092731082,0.7080228980207739,4.286288777571776,2.279925015945041,104.54102312723342,-0.23037982780032373,4.991989106307257,79.03820215943686,[79.03820216],[ 73.70668043 -30.88970254   1.40981133   1.        ],[],[-7.16087679+0.j        2.87553273-1.422772j  2.87553273+1.422772j]
[6.],[2.60890789 8.70325268 7.86256966 1.        ],[8.60890789 8.70325268 7.86256966 1.        ],-6.764038692198133,-0.5492654846635698,-0.5492654846635698,8.674819249136185,6.315783775803435,0.6141416847401715,52.11041998250654,0.633333904704671,-2.0076316944529866,37.548395006548084,0.9886637011906915,1.0376908058964462e-07,1.9923973162268032,201.15351516519655,-0.6533150927617699,-1.8896548104190305,0.360415792510192,[2.16249476],[ 9.70852485 17.61634043  9.09890938  1.        ],[],[-6.67896066 -1.3121497  -1.10779902]
[5.],[0.25354755 3.38154787 6.63935934 1.        ],[5.25354755 3.38154787 6.63935934 1.        ],-6.232018623955797,-0.2036703602612006,-0.2036703602612006,19.311724110166644,17.713312999601783,0.46375506799368477,62.37031809610766,0.2258188516225014,-2.8345670311490943,5.925791406750069,0.9368117061776036,0.022200907651555146,1.4111502589439402,207.09265137737333,-0.45731051721848603,-2.2930695638952283,2.394443524852857,[11.97221762],[13.2435686  14.73029993  8.47511839  1.        ],[],[-6.52988453+0.j       -0.97261693-1.040271j -0.97261693+1.040271j]
[6.],[2.13288054 8.14553738 7.63129573 1.        ],[8.13288054 8.14553738 7.63129573 1.        ],-6.58139711873548,-0.524949304346066,-0.524949304346066,2.636068099276982,4.088601315720899,0.7566672298654432,40.82873735408927,0.9783296758771216,-2.2640681246038925,9.660118591589292,0.9724349714170053,0.00020416199388925447,1.7667312906937442,150.6962879006917,-0.8053032986595874,-1.9593678627715618,0.837503344370787,[5.02502007],[10.21449042 16.02317336  8.78536029  1.        ],[],[-6.58875763+0.j         -1.09830133-0.58653644j -1.09830133+0.58653644j]
[4.],[ 3.41108313 10.23544789  8.05192435  1.        ],[ 7.41108313 10.23544789  8.05192435  1.        ],-6.6870152099349625,-0.682454571489788,-0.682454571489788,2.0896570735224165,3.3857346629174288,0.7762412324474048,39.0822970938532,1.181427488636475,-2.2678436029867006,19.39215773264886,0.8563680950438977,0.5460683078462978,1.7637900579793453,113.62660251910847,-0.9041942578352988,0.8581591803480042,8.38986462077743,[33.55945848],[30.32204321 -2.36137882  6.28957091  1.        ],[],[-7.20203333+0.j          0.45623121-2.00051468j  0.45623121+2.00051468j]
